,comune,anno,mese,presenze_annue,letti_totali,utilizzazione_lorda_pct,segmenti_esclusi,copertura_sufficiente
375,Berchidda,2022,4,1090.99,446.0,0.67,0,True
376,Berchidda,2022,5,1090.99,446.0,0.67,0,True
377,Berchidda,2022,6,1090.99,446.0,0.67,0,True
378,Berchidda,2022,7,1090.99,446.0,0.67,0,True
379,Berchidda,2022,8,1090.99,446.0,0.67,0,True
380,Berchidda,2022,9,1090.99,446.0,0.67,0,True
381,Berchidda,2022,10,1090.99,446.0,0.67,0,True
382,Berchidda,2022,11,1090.99,446.0,0.67,0,True
383,Berchidda,2022,12,1090.99,446.0,0.67,0,True
384,Bessude,2022,1,0.0,26.0,0.0,0,True
385,Bessude,2022,2,0.0,26.0,0.0,0,True
386,Bessude,2022,3,0.0,26.0,0.0,0,True
387,Bessude,2022,4,0.0,26.0,0.0,0,True
388,Bessude,2022,5,0.0,26.0,0.0,0,True
389,Bessude,2022,6,0.0,26.0,0.0,0,True
390,Bessude,2022,7,0.0,26.0,0.0,0,True
391,Bessude,2022,8,0.0,26.0,0.0,0,True
392,Bessude,2022,9,0.0,26.0,0.0,0,True
393,Bessude,2022,10,0.0,26.0,0.0,0,True
394,Bessude,2022,11,0.0,26.0,0.0,0,True
395,Bessude,2022,12,0.0,26.0,0.0,0,True
396,Bitti,2022,1,2793.0,106.0,7.22,0,True
397,Bitti,2022,2,2793.0,106.0,7.22,0,True
398,Bitti,2022,3,2793.0,106.0,7.22,0,True
399,Bitti,2022,4,2793.0,106.0,7.22,0,True
400,Bitti,2022,5,2793.0,106.0,7.22,0,True
401,Bitti,2022,6,2793.0,106.0,7.22,0,True
402,Bitti,2022,7,2793.0,106.0,7.22,0,True
403,Bitti,2022,8,2793.0,106.0,7.22,0,True
404,Bitti,2022,9,2793.0,106.0,7.22,0,True
405,Bitti,2022,10,2793.0,106.0,7.22,0,True
406,Bitti,2022,11,2793.0,106.0,7.22,0,True
407,Bitti,2022,12,2793.0,106.0,7.22,0,True
408,Bolotana,2022,1,613.0,127.0,1.32,0,True
409,Bolotana,2022,2,613.0,127.0,1.32,0,True
410,Bolotana,2022,3,613.0,127.0,1.32,0,True
411,Bolotana,2022,4,613.0,127.0,1.32,0,True
412,Bolotana,2022,5,613.0,127.0,1.32,0,True
413,Bolotana,2022,6,613.0,127.0,1.32,0,True
414,Bolotana,2022,7,613.0,127.0,1.32,0,True
415,Bolotana,2022,8,613.0,127.0,1.32,0,True
416,Bolotana,2022,9,613.0,127.0,1.32,0,True
417,Bolotana,2022,10,613.0,127.0,1.32,0,True
418,Bolotana,2022,11,613.0,127.0,1.32,0,True
419,Bolotana,2022,12,613.0,127.0,1.32,0,True
420,Bonarcado,2022,1,3478.0,75.0,12.71,0,True
421,Bonarcado,2022,2,3478.0,75.0,12.71,0,True
422,Bonarcado,2022,3,3478.0,75.0,12.71,0,True
423,Bonarcado,2022,4,3478.0,75.0,12.71,0,True
424,Bonarcado,2022,5,3478.0,75.0,12.71,0,True
425,Bonarcado,2022,6,3478.0,75.0,12.71,0,True
426,Bonarcado,2022,7,3478.0,75.0,12.71,0,True
427,Bonarcado,2022,8,3478.0,75.0,12.71,0,True
428,Bonarcado,2022,9,3478.0,75.0,12.71,0,True
429,Bonarcado,2022,10,3478.0,75.0,12.71,0,True
430,Bonarcado,2022,11,3478.0,75.0,12.71,0,True
431,Bonarcado,2022,12,3478.0,75.0,12.71,0,True
432,Bonnanaro,2022,1,0.0,16.0,0.0,0,True
433,Bonnanaro,2022,2,0.0,16.0,0.0,0,True
434,Bonnanaro,2022,3,0.0,16.0,0.0,0,True
435,Bonnanaro,2022,4,0.0,16.0,0.0,0,True
436,Bonnanaro,2022,5,0.0,16.0,0.0,0,True
437,Bonnanaro,2022,6,0.0,16.0,0.0,0,True
438,Bonnanaro,2022,7,0.0,16.0,0.0,0,True
439,Bonnanaro,2022,8,0.0,16.0,0.0,0,True
440,Bonnanaro,2022,9,0.0,16.0,0.0,0,True
441,Bonnanaro,2022,10,0.0,16.0,0.0,0,True
442,Bonnanaro,2022,11,0.0,16.0,0.0,0,True
