comune,anno,mese,densita_turistica,densita_turistica_norm,intensita_turistica_presenze,intensita_turistica_norm,densita_ricettiva,densita_ricettiva_norm,utilizzazione_lorda_pct,utilizzazione_lorda_norm,indice_overtourism,n_indicatori_disponibili
Aidomaggiore,2022,3,,,,,0.0,0.0,,,0.0,1.0
Aidomaggiore,2022,4,,,,,0.0,0.0,,,0.0,1.0
Aidomaggiore,2022,5,,,,,0.0,0.0,,,0.0,1.0
Aidomaggiore,2022,6,,,,,0.0,0.0,,,0.0,1.0
Aidomaggiore,2022,7,,,,,0.0,0.0,,,0.0,1.0
Aidomaggiore,2022,8,,,,,0.0,0.0,,,0.0,1.0
Aidomaggiore,2022,9,,,,,0.0,0.0,,,0.0,1.0
Aidomaggiore,2022,10,,,,,0.0,0.0,,,0.0,1.0
Aidomaggiore,2022,11,,,,,0.0,0.0,,,0.0,1.0
Aidomaggiore,2022,12,,,,,0.0,0.0,,,0.0,1.0
Aidomaggiore,2023,1,,,,,0.19,0.0009,0.0,0.0,0.0,2.0
Aidomaggiore,2023,2,,,,,0.19,0.0009,0.0,0.0,0.0,2.0
Aidomaggiore,2023,3,,,,,0.19,0.0009,0.0,0.0,0.0,2.0
Aidomaggiore,2023,4,,,,,0.19,0.0009,0.0,0.0,0.0,2.0
Aidomaggiore,2023,5,,,,,0.19,0.0009,0.0,0.0,0.0,2.0
Aidomaggiore,2023,6,,,,,0.19,0.0009,0.0,0.0,0.0,2.0
Aidomaggiore,2023,7,,,,,0.19,0.0009,0.0,0.0,0.0,2.0
Aidomaggiore,2023,8,,,,,0.19,0.0009,0.0,0.0,0.0,2.0
Aidomaggiore,2023,9,,,,,0.19,0.0009,0.0,0.0,0.0,2.0
Aidomaggiore,2023,10,,,,,0.19,0.0009,0.0,0.0,0.0,2.0
Aidomaggiore,2023,11,,,,,0.19,0.0009,0.0,0.0,0.0,2.0
Aidomaggiore,2023,12,,,,,0.19,0.0009,0.0,0.0,0.0,2.0
Aidomaggiore,2024,1,0.01,0.0,0.0014,0.0,0.19,0.0009,7.88,0.266,0.0,4.0
Aidomaggiore,2024,2,0.01,0.0,0.0013,0.0,0.19,0.0009,7.88,0.266,0.0,4.0
Aidomaggiore,2024,3,0.02,0.0,0.0018,0.0001,0.19,0.0009,7.88,0.266,0.0,4.0
Aidomaggiore,2024,4,0.03,0.0,0.0029,0.0001,0.19,0.0009,7.88,0.266,0.0,4.0
Aidomaggiore,2024,5,0.03,0.0,0.0032,0.0001,0.19,0.0009,7.88,0.266,0.0,4.0
Aidomaggiore,2024,6,0.06,0.0,0.0062,0.0002,0.19,0.0009,7.88,0.266,0.0,4.0
Aidomaggiore,2024,7,0.66,0.0004,0.0712,0.0023,0.19,0.0009,7.88,0.266,0.0039,4.0
Aidomaggiore,2024,8,2.5,0.0015,0.2703,0.0089,0.19,0.0009,7.88,0.266,0.0075,4.0
Aidomaggiore,2024,9,1.09,0.0006,0.1173,0.0039,0.19,0.0009,7.88,0.266,0.0049,4.0
Aidomaggiore,2024,10,0.8,0.0005,0.0866,0.0029,0.19,0.0009,7.88,0.266,0.0043,4.0
Aidomaggiore,2024,11,0.35,0.0002,0.0381,0.0013,0.19,0.0009,7.88,0.266,0.0028,4.0
Aidomaggiore,2024,12,0.02,0.0,0.0019,0.0001,0.19,0.0009,7.88,0.266,0.0,4.0
Aidomaggiore,2025,1,0.05,0.0,0.0054,0.0002,0.19,0.0009,12.5,0.422,0.0,4.0
Aidomaggiore,2025,2,0.53,0.0003,0.0578,0.0019,0.19,0.0009,12.5,0.422,0.0038,4.0
Aidomaggiore,2025,3,0.06,0.0,0.0065,0.0002,0.19,0.0009,12.5,0.422,0.0,4.0
Aidomaggiore,2025,4,0.79,0.0005,0.0864,0.0028,0.19,0.0009,12.5,0.422,0.0048,4.0
Aidomaggiore,2025,5,0.14,0.0001,0.0152,0.0005,0.19,0.0009,12.5,0.422,0.0021,4.0
Aidomaggiore,2025,6,0.22,0.0001,0.0242,0.0008,0.19,0.0009,12.5,0.422,0.0023,4.0
Aidomaggiore,2025,7,1.02,0.0006,0.111,0.0037,0.19,0.0009,12.5,0.422,0.0054,4.0
Aidomaggiore,2025,8,3.21,0.0019,0.3491,0.0115,0.19,0.0009,12.5,0.422,0.0095,4.0
Aidomaggiore,2025,9,1.13,0.0007,0.1233,0.0041,0.19,0.0009,12.5,0.422,0.0057,4.0
Aidomaggiore,2025,10,1.33,0.0008,0.1446,0.0048,0.19,0.0009,12.5,0.422,0.0062,4.0
Aidomaggiore,2025,11,0.05,0.0,0.0057,0.0002,0.19,0.0009,12.5,0.422,0.0,4.0
Aidomaggiore,2025,12,0.31,0.0002,0.0337,0.0011,0.19,0.0009,12.5,0.422,0.003,4.0
Albagiara,2022,1,,,,,0.0,0.0,,,0.0,1.0
Albagiara,2022,2,,,,,0.0,0.0,,,0.0,1.0
Albagiara,2022,3,,,,,0.0,0.0,,,0.0,1.0
Albagiara,2022,4,,,,,0.0,0.0,,,0.0,1.0
Albagiara,2022,5,,,,,0.0,0.0,,,0.0,1.0
Albagiara,2022,6,,,,,0.0,0.0,,,0.0,1.0
Albagiara,2022,7,,,,,0.0,0.0,,,0.0,1.0
Albagiara,2022,8,,,,,0.0,0.0,,,0.0,1.0
Albagiara,2022,9,,,,,0.0,0.0,,,0.0,1.0
Albagiara,2022,10,,,,,0.0,0.0,,,0.0,1.0
Albagiara,2022,11,,,,,0.0,0.0,,,0.0,1.0
Albagiara,2022,12,,,,,0.0,0.0,,,0.0,1.0
Albagiara,2023,1,,,,,0.0,0.0,,,0.0,1.0
Albagiara,2023,2,,,,,0.0,0.0,,,0.0,1.0
Albagiara,2023,3,,,,,0.0,0.0,,,0.0,1.0
Albagiara,2023,4,,,,,0.0,0.0,,,0.0,1.0
Albagiara,2023,5,,,,,0.0,0.0,,,0.0,1.0
Albagiara,2023,6,,,,,0.0,0.0,,,0.0,1.0
Albagiara,2023,7,,,,,0.0,0.0,,,0.0,1.0
Albagiara,2023,8,,,,,0.0,0.0,,,0.0,1.0
Albagiara,2023,9,,,,,0.0,0.0,,,0.0,1.0
Albagiara,2023,10,,,,,0.0,0.0,,,0.0,1.0
Albagiara,2023,11,,,,,0.0,0.0,,,0.0,1.0
Albagiara,2023,12,,,,,0.0,0.0,,,0.0,1.0
Albagiara,2024,1,,,,,0.44,0.0021,0.0,0.0,0.0,2.0
Albagiara,2024,2,,,,,0.44,0.0021,0.0,0.0,0.0,2.0
Albagiara,2024,3,,,,,0.44,0.0021,0.0,0.0,0.0,2.0
Albagiara,2024,4,,,,,0.44,0.0021,0.0,0.0,0.0,2.0
Albagiara,2024,5,,,,,0.44,0.0021,0.0,0.0,0.0,2.0
Albagiara,2024,6,,,,,0.44,0.0021,0.0,0.0,0.0,2.0
Albagiara,2024,7,,,,,0.44,0.0021,0.0,0.0,0.0,2.0
Albagiara,2024,8,,,,,0.44,0.0021,0.0,0.0,0.0,2.0
Albagiara,2024,9,,,,,0.44,0.0021,0.0,0.0,0.0,2.0
Albagiara,2024,10,,,,,0.44,0.0021,0.0,0.0,0.0,2.0
Albagiara,2024,11,,,,,0.44,0.0021,0.0,0.0,0.0,2.0
Albagiara,2024,12,,,,,0.44,0.0021,0.0,0.0,0.0,2.0
Albagiara,2025,1,0.04,0.0,0.0015,0.0,0.65,0.0032,4.79,0.1617,0.0,4.0
Albagiara,2025,2,0.03,0.0,0.0014,0.0,0.65,0.0032,4.79,0.1617,0.0,4.0
Albagiara,2025,3,0.04,0.0,0.0018,0.0001,0.65,0.0032,4.79,0.1617,0.0,4.0
Albagiara,2025,4,0.08,0.0,0.0034,0.0001,0.65,0.0032,4.79,0.1617,0.0,4.0
Albagiara,2025,5,0.1,0.0001,0.0041,0.0001,0.65,0.0032,4.79,0.1617,0.0015,4.0
Albagiara,2025,6,0.16,0.0001,0.0066,0.0002,0.65,0.0032,4.79,0.1617,0.0018,4.0
Albagiara,2025,7,0.21,0.0001,0.0086,0.0003,0.65,0.0032,4.79,0.1617,0.002,4.0
Albagiara,2025,8,1.96,0.0011,0.0793,0.0026,0.65,0.0032,4.79,0.1617,0.0062,4.0
Albagiara,2025,9,4.61,0.0027,0.1861,0.0061,0.65,0.0032,4.79,0.1617,0.0096,4.0
Albagiara,2025,10,2.92,0.0017,0.118,0.0039,0.65,0.0032,4.79,0.1617,0.0077,4.0
Albagiara,2025,11,0.04,0.0,0.0015,0.0,0.65,0.0032,4.79,0.1617,0.0,4.0
Albagiara,2025,12,1.25,0.0007,0.0504,0.0017,0.65,0.0032,4.79,0.1617,0.005,4.0
Ales,2022,1,0.41,0.0002,0.007,0.0002,1.98,0.0097,5.6,0.1891,0.0029,4.0
Ales,2022,2,,,,,1.98,0.0097,5.6,0.1891,0.0428,2.0
Ales,2022,3,0.99,0.0006,0.017,0.0006,1.98,0.0097,5.6,0.1891,0.0051,4.0
