,codice_istat,nome_comune,codice_istat_str,infrastrutture,natura,ristorazione,servizi,turismo,com_istat_code,area_km2,area_km2_reg,turismo_density,turismo_log_density,natura_density,natura_log_density,ristorazione_density,ristorazione_log_density,servizi_density,servizi_log_density,infrastrutture_density,infrastrutture_log_density,turismo_density_norm,natura_density_norm,ristorazione_density_norm,servizi_density_norm,infrastrutture_density_norm,indice_attrattivita_assoluto,indice_attrattivita_og,indice_attrattivita_log,indice_attrattivita_assoluto_norm,indice_attrattivita_log_norm,classe
131,114040,Osidda,114040.0,0,1,2,2,7,114040,26.000231441378357,69.39209535497616,0.10087604307365859,0.09610626563812891,0.014410863296236942,0.014308013728889693,0.028821726592473885,0.028414192661270307,0.028821726592473885,0.028414192661270307,0.0,0.0,3.497400087095154,0.6925171919897921,0.653364276541606,1.3798663452333917,0.0,1.5600021312193244,0.0,0.9400080909986732,1.2683497839487654,"15,636871508814",1
343,118063,Ussana,118063.0,0,1,6,6,4,118063,32.799926062052016,76.19178997564983,0.05249909473551366,0.05116742646525398,0.013124773683878415,0.013039390123574655,0.07874864210327048,0.0758017046460137,0.07874864210327048,0.0758017046460137,0.0,0.0,1.590091210178005,0.6307138739866065,1.7851654171847056,3.7701627840542664,0.0,1.5572633325951342,0.0,0.9389376759869588,1.2656028709699962,"15,6122998634578",1
112,114021,Lodine,114021.0,1,2,2,2,3,114021,7.802612715117049,51.19447662871486,0.058600071678773784,0.05694734815266205,0.039066714452515854,0.038322920308362346,0.039066714452515854,0.038322920308362346,0.039066714452515854,0.038322920308362346,0.019533357226257927,0.0193450296989338,1.8306282403439118,1.8773595194666735,0.8856095259674943,1.8703544466328423,0.7140384497116834,1.5476072691294356,0.0,0.9351545928354792,1.255918199076462,"15,52545823985",1
218,115074,Tadasuni,115074.0,0,1,2,0,5,115074,5.149586721976724,48.541450635574535,0.10300475026050528,0.09803804693526069,0.020600950052101056,0.020391620523355206,0.04120190010420211,0.0403757190542052,0.0,0.0,0.0,0.0,3.5813264663584907,0.9899831668050274,0.9340123870563332,0.0,0.0,1.5086962090200706,0.0,0.9197631795512855,1.2168918555227515,"15,1721444833987",1
60,112061,Tula,112061.0,0,2,8,5,7,112061,66.2784461592882,109.670310072886,0.06382766671625034,0.06187341042937614,0.018236476204642953,0.01807218604855495,0.07294590481857181,0.07040804748353312,0.045591190511607385,0.044582457997438873,0.0,0.0,2.0367313279180674,0.8763578581947817,1.653622248325136,2.1827196654664807,0.0,1.4882412624091148,0.0,0.9115761405972755,1.1963763061759003,"14,9842089485882",1
325,118043,San Nicolò Gerrei,118043.0,0,8,3,4,3,118043,63.285052887786186,106.676916801384,0.02812229758744845,0.02773412648177285,0.0749927935665292,0.0723139578981138,0.02812229758744845,0.02773412648177285,0.0374963967832646,0.036810500136699634,0.0,0.0,0.6290119526289479,3.603795119874896,0.6375088098541941,1.7951740615794722,0.0,1.4864302369651679,0.0,0.910848042058837,1.1945599151302353,"14,9674952638256",1
259,117005,Genuri,117005.0,0,1,1,1,5,117005,7.713644986586836,51.105508900184645,0.09783681070010702,0.09334170790698473,0.019567362140021406,0.019378382552418354,0.019567362140021406,0.019378382552418354,0.019567362140021406,0.019378382552418354,0.0,0.0,3.3775753547749017,0.9403138733120484,0.4435756257496765,0.9368052394564064,0.0,1.4775869858288788,0.0,0.9072850969301247,1.185690463719594,"14,8857069638033",1
340,118059,Siurgus Donigala,118059.0,0,5,3,5,7,118059,76.11946465611629,119.5113285697141,0.05857185326089582,0.056920691443731436,0.04183703804349701,0.040985537668102506,0.025102222826098208,0.02479233720414417,0.04183703804349701,0.040985537668102506,0.0,0.0,1.8295157014021206,2.0104880263917457,0.5690462576465682,2.0029862053977463,0.0,1.4657338993575482,0.0,0.9024894911165837,1.1738022596073998,"14,7756226282614",1
20,112021,Erula,112021.0,0,0,3,3,8,112021,39.370136153101704,82.76200006669951,0.09666271952771373,0.09227167688784288,0.0,0.0,0.03624851982289265,0.035606999068656386,0.03624851982289265,0.035606999068656386,0.0,0.0,3.3312856529160086,0.0,0.821723426381149,1.7354308184019789,0.0,1.424045003911329,0.0,0.8854376340047427,1.1319898507065358,"14,3841929668382",1
89,113024,Telti,113024.0,2,3,8,5,7,113024,83.35826773533101,126.75013164892883,0.05522676709629404,0.05375568894560897,0.0236686144698403,0.02339285555969375,0.06311630525290747,0.06120450565403498,0.03944769078306717,0.03868950553274968,0.015779076313226868,0.01565588093819558,1.6976323818673285,1.1374004522839982,1.430793501813086,1.8885940345760417,0.5768013689645347,1.4207677700766752,0.0,0.8840847502144308,1.1287029072725208,"14,3531371797463",1
1,112002,Anela,112002.0,1,2,1,3,6,112002,36.78058831958137,80.17245223317917,0.0748386737946992,0.0721705794292116,0.02494622459823307,0.024640147407495948,0.012473112299116535,0.012395963891987992,0.0374193368973496,0.03673622253139782,0.012473112299116535,0.012395963891987992,2.47085113633855,1.19879628682802,0.2827549545786937,1.791484749532171,0.45595243387903317,1.4118233593420375,0.0,0.8803830420795582,1.119731996553708,"14,2681635400766",1
214,115070,Soddì,115070.0,0,1,1,0,5,115070,5.492930204729961,48.88479411832777,0.10228129401337525,0.0973819358833983,0.020456258802675053,0.020249839833386567,0.020456258802675053,0.020249839833386567,0.0,0.0,0.0,0.0,3.5528034906518102,0.9830299971233641,0.46372616472073885,0.0,0.0,1.404343779420532,0.0,0.8772770095357382,1.1122302565642632,"14,1968637831632",1
117,114026,Noragugume,114026.0,0,1,1,1,7,114026,26.67688918064447,70.06875309424228,0.09990187766842402,0.09522097370596459,0.01427169680977486,0.014170814849757919,0.01427169680977486,0.014170814849757919,0.01427169680977486,0.014170814849757919,0.0,0.0,3.4589926556879016,0.6858295160024019,0.3235273511884122,0.6832704506441839,0.0,1.376351213541281,0.0,0.8655662077235242,1.084154755925549,"13,9280393871879",1
