codice_istat,nome_comune,codice_istat_str,infrastrutture,natura,ristorazione,servizi,turismo
95060,Sini,095060,0,3,1,2,5
95061,Siris,095061,0,3,1,0,5
95062,Solarussa,095062,9,24,9,5,18
95063,Sorradile,095063,0,3,3,3,10
95064,Tadasuni,095064,0,1,2,0,5
95065,Terralba,095065,5,142,43,16,19
95066,Tramatza,095066,1,5,7,3,9
95067,Tresnuraghes,095067,4,3,13,4,30
95068,Ulà Tirso,095068,0,1,4,2,2
95069,Uras,095069,3,20,8,6,6
95070,Usellus,095070,0,90,4,3,8
95071,Villanova Truschedu,095071,1,34,3,1,15
95072,Villaurbana,095072,0,13,5,6,13
95073,Villa Verde,095073,0,6,1,2,6
95074,Zeddiani,095074,3,5,4,3,4
95075,Zerfaliu,095075,12,40,2,2,24
95076,Siapiccia,095076,0,4,0,1,2
95077,Curcuris,095077,0,2,2,1,2
95078,Soddì,095078,0,1,1,0,5
95079,Bosa,095079,14,53,77,13,75
95080,Flussio,095080,1,1,5,2,13
95082,Laconi,095082,3,26,11,7,25
95083,Magomadas,095083,3,3,6,2,10
95084,Modolo,095084,0,4,1,1,7
95085,Montresta,095085,0,3,3,4,9
95086,Sagama,095086,0,4,1,2,14
95087,Suni,095087,4,3,7,4,23
95088,Tinnura,095088,4,1,3,1,31
111001,Arbus,111001,1,66,54,10,96
111002,Armungia,111002,0,11,3,2,12
111003,Ballao,111003,0,14,2,4,5
111004,Barrali,111004,1,2,1,4,4
111005,Barumini,111005,0,82,7,4,124
111006,Buggerru,111006,6,80,21,7,29
111007,Burcei,111007,3,202,9,5,57
111008,Calasetta,111008,1,19,21,5,18
111009,Carbonia,111009,10,60,18,41,50
111010,Carloforte,111010,37,68,18,8,51
111011,Castiadas,111011,2,35,18,5,74
111012,Collinas,111012,0,7,1,2,13
111013,Decimoputzu,111013,1,6,5,5,6
111014,Dolianova,111014,3,72,4,9,25
111015,Domus de Maria,111015,3,15,21,6,35
111016,Domusnovas,111016,0,78,8,7,14
111017,Donori,111017,3,0,5,5,6
111018,Escalaplano,111018,0,9,5,5,9
111019,Escolca,111019,0,0,2,2,5
111020,Esterzili,111020,6,13,1,4,24
111021,Fluminimaggiore,111021,4,87,16,5,30
111022,Furtei,111022,0,3,3,4,8
111023,Genoni,111023,0,8,3,4,9
111024,Genuri,111024,0,8,1,1,5
111025,Gergei,111025,0,3,6,5,10
111026,Gesico,111026,1,2,2,2,4
111027,Gesturi,111027,0,7,4,4,20
111028,Giba,111028,6,8,2,5,6
111029,Goni,111029,0,22,1,2,21
111030,Gonnesa,111030,2,44,3,6,34
111031,Gonnosfanadiga,111031,9,45,17,6,20
111032,Guamaggiore,111032,0,1,2,3,3
111033,Guasila,111033,0,6,6,6,6
111034,Guspini,111034,1,46,30,13,33
111035,Iglesias,111035,17,195,46,43,139
111036,Isili,111036,12,34,11,9,26
111037,Las Plassas,111037,0,25,1,1,11
111038,Lunamatrona,111038,0,3,6,5,15
111039,Mandas,111039,4,6,10,5,19
111040,Masainas,111040,4,39,6,3,13
111041,Monastir,111041,0,28,5,5,11
111042,Muravera,111042,4,183,52,14,119
111043,Musei,111043,3,7,2,5,1
111044,Narcao,111044,0,9,4,6,9
111045,Nuragus,111045,0,4,2,4,6
111046,Nurallao,111046,4,8,1,6,6
111047,Nuraminis,111047,1,10,6,5,10
111048,Nurri,111048,3,2,5,5,3
111049,Nuxis,111049,1,23,1,4,9
111050,Orroli,111050,2,16,6,5,23
111051,Ortacesus,111051,0,1,3,3,4
111052,Pabillonis,111052,0,10,5,4,12
111053,Pauli Arbarei,111053,0,1,4,2,13
111054,Perdaxius,111054,0,9,3,6,3
111055,Pimentel,111055,0,1,2,4,7
111056,Piscinas,111056,0,4,0,2,6
111057,Portoscuso,111057,14,26,11,11,23
111058,Sadali,111058,6,28,8,5,15
111059,Samassi,111059,6,4,10,7,3
111060,Samatzai,111060,0,3,2,4,5
111061,San Basilio,111061,0,2,2,5,6
111062,San Gavino Monreale,111062,15,9,17,17,6
111063,San Giovanni Suergiu,111063,15,28,6,5,30
111064,San Nicolò Gerrei,111064,0,9,3,4,3
111065,San Sperate,111065,1,13,2,6,43
111066,San Vito,111066,1,210,12,5,69
111067,Sanluri,111067,4,16,19,14,13
111068,Santadi,111068,2,12,15,7,15
111069,Sant'Andrea Frius,111069,0,3,4,5,3
111070,Sant'Anna Arresi,111070,5,18,12,6,20
111071,Sant'Antioco,111071,12,72,22,15,87
111072,Sardara,111072,1,10,9,5,21
111073,Segariu,111073,0,4,2,3,7
111074,Selegas,111074,0,3,3,4,10
111075,Senorbì,111075,4,9,16,9,5
111076,Serdiana,111076,2,7,5,5,8
111077,Serramanna,111077,4,480,9,18,10
111078,Serrenti,111078,3,21,13,7,11
111079,Serri,111079,1,8,3,2,16
111080,Setzu,111080,0,3,1,0,6
111081,Seui,111081,8,121,3,5,91
111082,Seulo,111082,1,191,6,4,43
111083,Siddi,111083,0,12,4,3,9
111084,Siliqua,111084,7,46,3,5,18
111085,Silius,111085,0,4,3,4,10
111086,Siurgus Donigala,111086,0,6,3,5,7
111087,Soleminis,111087,1,57,6,5,5
111088,Suelli,111088,4,6,2,4,6
111089,Teulada,111089,2,43,10,7,37
111090,Tratalias,111090,0,3,3,2,13
111091,Tuili,111091,0,15,4,4,23
111092,Turri,111092,0,2,2,2,4
111093,Ussana,111093,0,1,6,6,4
111094,Ussaramanna,111094,1,3,2,3,6
111095,Vallermosa,111095,1,15,2,5,8
111096,Villacidro,111096,3,85,26,20,28
111097,Villamar,111097,0,6,11,7,14
111098,Villamassargia,111098,7,45,0,6,27
111099,Villanova Tulo,111099,3,7,5,5,27
111100,Villanovaforru,111100,0,3,4,3,19
111101,Villanovafranca,111101,0,1,3,4,11
111102,Villaperuccio,111102,0,5,2,3,37
111103,Villaputzu,111103,5,102,18,6,56
111104,Villasalto,111104,1,46,1,4,10
111105,Villasimius,111105,4,124,68,7,65
111106,Villasor,111106,7,252,6,6,19
111107,Villaspeciosa,111107,4,21,1,5,3
