comune,rank,mercato,presenze,quota_pct
Chiaramonti,5,Spagna,103,4.36
Codrongianos,1,Italia,408,23.73
Codrongianos,2,Spagna,390,22.69
Codrongianos,3,Francia,282,16.4
Codrongianos,4,Polonia,124,7.21
Codrongianos,5,Germania,101,5.88
Collinas,1,Italia,411,37.09
Collinas,2,Francia,284,25.63
Collinas,3,Germania,108,9.75
Collinas,4,Spagna,81,7.31
Collinas,5,Altri Paesi Europei,57,5.14
Cossoine,1,Italia,388,28.83
Cossoine,2,Francia,299,22.21
Cossoine,3,Spagna,159,11.81
Cossoine,4,Polonia,106,7.88
Cossoine,5,Germania,104,7.73
Cuglieri,1,Italia,307177,56.0
Cuglieri,2,Germania,93344,17.02
Cuglieri,3,Francia,38247,6.97
Cuglieri,4,Svizzera (incluso Liechtenstein),23969,4.37
Cuglieri,5,Paesi Bassi,22297,4.06
Decimomannu,1,Italia,5065,67.64
Decimomannu,2,Francia,513,6.85
Decimomannu,3,Germania,420,5.61
Decimomannu,4,Spagna,403,5.38
Decimomannu,5,Polonia,154,2.06
Decimoputzu,1,Italia,22,100.0
Desulo,1,Italia,1804,67.9
Desulo,2,Germania,212,7.98
Desulo,3,Francia,178,6.7
Desulo,4,Repubblica Ceca,58,2.18
Desulo,5,Svizzera (incluso Liechtenstein),50,1.88
Dolianova,1,Italia,2319,43.26
Dolianova,2,Francia,794,14.81
Dolianova,3,Germania,620,11.57
Dolianova,4,Regno Unito,360,6.72
Dolianova,5,Spagna,206,3.84
Domus De Maria,1,Italia,473927,53.14
Domus De Maria,2,Germania,112483,12.61
Domus De Maria,3,Svizzera (incluso Liechtenstein),59804,6.71
Domus De Maria,4,Regno Unito,54885,6.15
Domus De Maria,5,Francia,34124,3.83
Domusnovas,1,Italia,2473,57.3
Domusnovas,2,Germania,383,8.87
Domusnovas,3,Francia,351,8.13
Domusnovas,4,Polonia,165,3.82
Domusnovas,5,Spagna,163,3.78
Donori,1,Austria,124,38.39
Donori,2,Germania,48,14.86
Donori,3,Svizzera (incluso Liechtenstein),42,13.0
Donori,4,Altri Paesi Europei,28,8.67
Donori,5,Paesi Bassi,22,6.81
Dorgali,1,Italia,710466,37.0
Dorgali,2,Germania,309295,16.11
Dorgali,3,Francia,178576,9.3
Dorgali,4,Polonia,90448,4.71
Dorgali,5,Svizzera (incluso Liechtenstein),77975,4.06
Dualchi,1,Italia,128,87.07
Dualchi,2,Spagna,15,10.2
Dualchi,3,Francia,2,1.36
Dualchi,4,Belgio,1,0.68
Dualchi,5,Paesi Bassi,1,0.68
Elini,1,Italia,617,71.91
Elini,2,Germania,130,15.15
Elini,3,Francia,26,3.03
Elini,4,Repubblica Ceca,25,2.91
Elini,5,Spagna,15,1.75
Elmas,1,Italia,32949,65.99
Elmas,2,Francia,2454,4.91
Elmas,3,Germania,2157,4.32
Elmas,4,Spagna,1865,3.73
Elmas,5,Polonia,947,1.9
Erula,1,Francia,213,43.03
Erula,2,Belgio,78,15.76
Erula,3,Regno Unito,68,13.74
Erula,4,Germania,48,9.7
Erula,5,Italia,30,6.06
Escalaplano,1,Italia,368,89.32
Escalaplano,2,Francia,14,3.4
Escalaplano,3,Germania,6,1.46
Escalaplano,4,Svizzera (incluso Liechtenstein),6,1.46
Escalaplano,5,Brasile,5,1.21
Escolca,1,Italia,590,69.01
Escolca,2,Germania,58,6.78
Escolca,3,Francia,56,6.55
Escolca,4,Paesi Bassi,56,6.55
Escolca,5,Altri Paesi dell'Asia,12,1.4
Esterzili,1,Italia,35,85.37
Esterzili,2,Austria,4,9.76
Esterzili,3,Germania,2,4.88
Florinas,1,Italia,333,49.26
Florinas,2,Francia,114,16.86
Florinas,3,Spagna,100,14.79
Florinas,4,Polonia,34,5.03
Florinas,5,Regno Unito,28,4.14
Fluminimaggiore,1,Italia,14197,52.03
