comune,anno,rank,mercato,presenze,quota_pct
Baunei,2024,1,Italia,30528,28.81
Baunei,2024,2,Germania,25405,23.98
Baunei,2024,3,Francia,7737,7.3
Baunei,2024,4,Svizzera (incluso Liechtenstein),6110,5.77
Baunei,2024,5,Stati Uniti d'America,4352,4.11
Baunei,2025,1,Italia,41121,28.32
Baunei,2025,2,Germania,34608,23.84
Baunei,2025,3,Francia,11643,8.02
Baunei,2025,4,Svizzera (incluso Liechtenstein),7355,5.07
Baunei,2025,5,Stati Uniti d'America,6377,4.39
Belvì,2022,1,Italia,291,78.02
Belvì,2022,2,Francia,24,6.43
Belvì,2022,3,Romania,18,4.83
Belvì,2022,4,Spagna,13,3.49
Belvì,2022,5,Regno Unito,10,2.68
Belvì,2023,1,Italia,121,62.37
Belvì,2023,2,Francia,29,14.95
Belvì,2023,3,Spagna,12,6.19
Belvì,2023,4,Austria,10,5.15
Belvì,2023,5,Paesi Bassi,6,3.09
Belvì,2024,1,Italia,186,70.45
Belvì,2024,2,Francia,19,7.2
Belvì,2024,3,Germania,19,7.2
Belvì,2024,4,Paesi Bassi,9,3.41
Belvì,2024,5,Spagna,6,2.27
Belvì,2025,1,Italia,133,48.72
Belvì,2025,2,Francia,73,26.74
Belvì,2025,3,Germania,15,5.49
Belvì,2025,4,Paesi Bassi,11,4.03
Belvì,2025,5,Israele,8,2.93
Benetutti,2023,1,Italia,6197,93.19
Benetutti,2023,2,Francia,125,1.88
Benetutti,2023,3,Germania,95,1.43
Benetutti,2023,4,Spagna,65,0.98
Benetutti,2023,5,Paesi Bassi,47,0.71
Benetutti,2024,1,Italia,7114,87.77
Benetutti,2024,2,Spagna,166,2.05
Benetutti,2024,3,Germania,142,1.75
Benetutti,2024,4,Francia,140,1.73
Benetutti,2024,5,Polonia,106,1.31
Benetutti,2025,1,Italia,7006,74.92
Benetutti,2025,2,Francia,525,5.61
Benetutti,2025,3,Germania,409,4.37
Benetutti,2025,4,Belgio,208,2.22
Benetutti,2025,5,Spagna,185,1.98
Berchidda,2022,1,Italia,403,36.94
Berchidda,2022,2,Germania,203,18.61
Berchidda,2022,3,Regno Unito,130,11.92
Berchidda,2022,4,Francia,104,9.53
Berchidda,2022,5,Polonia,61,5.59
Berchidda,2023,1,Italia,2027,65.09
Berchidda,2023,2,Germania,242,7.77
Berchidda,2023,3,Paesi Bassi,170,5.46
Berchidda,2023,4,Francia,167,5.36
Berchidda,2023,5,Romania,120,3.85
Berchidda,2024,1,Italia,3024,69.53
Berchidda,2024,2,Germania,289,6.65
Berchidda,2024,3,Francia,277,6.37
Berchidda,2024,4,Paesi Bassi,130,2.99
Berchidda,2024,5,Spagna,104,2.39
Berchidda,2025,1,Italia,3229,62.64
Berchidda,2025,2,Paesi Bassi,389,7.55
Berchidda,2025,3,Francia,325,6.3
Berchidda,2025,4,Germania,276,5.35
Berchidda,2025,5,Polonia,136,2.64
Bessude,2023,1,Stati Uniti d'America,12,63.16
Bessude,2023,2,Canada,6,31.58
Bessude,2023,3,Italia,1,5.26
Bessude,2025,1,Italia,65,36.52
Bessude,2025,2,Canada,30,16.85
Bessude,2025,3,Ungheria,21,11.8
Bessude,2025,4,Germania,16,8.99
Bessude,2025,5,Polonia,14,7.87
Bitti,2022,1,Italia,671,24.02
Bitti,2022,2,Germania,533,19.08
Bitti,2022,3,Paesi Bassi,445,15.93
Bitti,2022,4,Belgio,294,10.53
Bitti,2022,5,Francia,286,10.24
Bitti,2023,1,Italia,922,34.82
Bitti,2023,2,Germania,381,14.39
Bitti,2023,3,Paesi Bassi,288,10.88
Bitti,2023,4,Svizzera (incluso Liechtenstein),176,6.65
Bitti,2023,5,Belgio,174,6.57
Bitti,2024,1,Italia,1239,33.87
Bitti,2024,2,Paesi Bassi,480,13.12
Bitti,2024,3,Belgio,437,11.95
Bitti,2024,4,Germania,386,10.55
Bitti,2024,5,Regno Unito,261,7.14
Bitti,2025,1,Italia,1615,31.86
Bitti,2025,2,Paesi Bassi,781,15.41
Bitti,2025,3,Germania,732,14.44
Bitti,2025,4,Francia,402,7.93
Bitti,2025,5,Belgio,296,5.84
Bolotana,2022,1,Italia,513,83.69
Bolotana,2022,2,Francia,26,4.24
Bolotana,2022,3,Ucraina,18,2.94
Bolotana,2022,4,Spagna,11,1.79
Bolotana,2022,5,Repubblica Ceca,7,1.14
Bolotana,2023,1,Italia,306,67.11
Bolotana,2023,2,Spagna,64,14.04
Bolotana,2023,3,Germania,19,4.17
Bolotana,2023,4,Francia,9,1.97
Bolotana,2023,5,Altri Paesi dell'Asia,7,1.54
Bolotana,2024,1,Italia,330,54.37
Bolotana,2024,2,Spagna,114,18.78
Bolotana,2024,3,Belgio,29,4.78
Bolotana,2024,4,Germania,27,4.45
Bolotana,2024,5,Francia,25,4.12
Bolotana,2025,1,Italia,1765,71.98
Bolotana,2025,2,Francia,241,9.83
Bolotana,2025,3,Egitto,90,3.67
Bolotana,2025,4,Spagna,78,3.18
Bolotana,2025,5,Altri Paesi Centro - Sud America,56,2.28
Bonarcado,2022,1,Italia,2649,76.16
Bonarcado,2022,2,Germania,212,6.1
Bonarcado,2022,3,Francia,119,3.42
Bonarcado,2022,4,Spagna,118,3.39
Bonarcado,2022,5,Regno Unito,106,3.05
Bonarcado,2023,1,Italia,740,62.82
Bonarcado,2023,2,Francia,146,12.39
Bonarcado,2023,3,Germania,71,6.03
Bonarcado,2023,4,Spagna,68,5.77
Bonarcado,2023,5,Svizzera (incluso Liechtenstein),47,3.99
Bonarcado,2024,1,Italia,2273,55.96
Bonarcado,2024,2,Francia,383,9.43
Bonarcado,2024,3,Spagna,230,5.66
Bonarcado,2024,4,Germania,212,5.22
