"anno","provincia","comune","mese","macro_tipologia","provenienza","arrivi","presenze"
"2022","Città metropolitana Cagliari","ASSEMINI","2","Non disponibile","Umbria","2","3"
"2022","Città metropolitana Cagliari","ASSEMINI","2","Non disponibile","Marche","5","17"
"2022","Città metropolitana Cagliari","ASSEMINI","2","Non disponibile","Lazio","60","401"
"2022","Città metropolitana Cagliari","ASSEMINI","2","Non disponibile","Abruzzo","12","50"
"2022","Città metropolitana Cagliari","ASSEMINI","2","Non disponibile","Campania","15","47"
"2022","Città metropolitana Cagliari","ASSEMINI","2","Non disponibile","Puglia","24","151"
"2022","Città metropolitana Cagliari","ASSEMINI","2","Non disponibile","Basilicata","4","20"
"2022","Città metropolitana Cagliari","ASSEMINI","2","Non disponibile","Calabria","5","8"
"2022","Città metropolitana Cagliari","ASSEMINI","2","Non disponibile","Sicilia","10","42"
"2022","Città metropolitana Cagliari","ASSEMINI","2","Non disponibile","Sardegna","235","501"
"2022","Città metropolitana Cagliari","ASSEMINI","3","Non disponibile","Francia","11","18"
"2022","Città metropolitana Cagliari","ASSEMINI","3","Non disponibile","Paesi Bassi","4","110"
"2022","Città metropolitana Cagliari","ASSEMINI","3","Non disponibile","Germania","2","48"
"2022","Città metropolitana Cagliari","ASSEMINI","3","Non disponibile","Spagna","4","21"
"2022","Città metropolitana Cagliari","ASSEMINI","3","Non disponibile","Belgio","2","4"
"2022","Città metropolitana Cagliari","ASSEMINI","3","Non disponibile","Turchia","5","65"
"2022","Città metropolitana Cagliari","ASSEMINI","3","Non disponibile","Lituania","1","6"
"2022","Città metropolitana Cagliari","ASSEMINI","3","Non disponibile","Polonia","2","32"
"2022","Città metropolitana Cagliari","ASSEMINI","3","Non disponibile","Slovacchia","1","4"
"2022","Città metropolitana Cagliari","ASSEMINI","3","Non disponibile","Romania","1","1"
"2022","Città metropolitana Cagliari","ASSEMINI","3","Non disponibile","Altri Paesi Europei","1","1"
"2022","Città metropolitana Cagliari","ASSEMINI","3","Non disponibile","Stati Uniti d'America","2","2"
"2022","Città metropolitana Cagliari","ASSEMINI","3","Non disponibile","Piemonte","57","313"
"2022","Città metropolitana Cagliari","ASSEMINI","3","Non disponibile","Lombardia","81","252"
"2022","Città metropolitana Cagliari","ASSEMINI","3","Non disponibile","Veneto","19","43"
"2022","Città metropolitana Cagliari","ASSEMINI","3","Non disponibile","Friuli-Venezia Giulia","31","31"
"2022","Città metropolitana Cagliari","ASSEMINI","3","Non disponibile","Liguria","10","23"
"2022","Città metropolitana Cagliari","ASSEMINI","3","Non disponibile","Emilia Romagna","62","184"
